["906,360,560", "819,987,18"]
["819,987,18", "425,690,689"]
["805,96,715", "970,615,88"]
["906,360,560", "346,949,466"]
["542,29,236", "216,146,977"]
["117,168,530", "346,949,466"]
["970,615,88", "425,690,689"]
["592,479,940", "466,668,158"]
["906,360,560", "117,168,530"]
["592,479,940", "984,92,344"]
["542,29,236", "425,690,689"]
["346,949,466", "970,615,88"]
["466,668,158", "984,92,344"]
["57,618,57", "739,650,466"]
["906,360,560", "431,825,988"]
["739,650,466", "117,168,530"]
["542,29,236", "52,470,668"]
["162,817,812", "57,618,57"]
["57,618,57", "542,29,236"]
["542,29,236", "970,615,88"]
["739,650,466", "862,61,35"]
["739,650,466", "52,470,668"]
["162,817,812", "466,668,158"]
["466,668,158", "862,61,35"]
["57,618,57", "425,690,689"]
["162,817,812", "352,342,300"]
["352,342,300", "216,146,977"]
["117,168,530", "805,96,715"]
["466,668,158", "117,168,530"]
["431,825,988", "216,146,977"]
["592,479,940", "346,949,466"]
["162,817,812", "117,168,530"]
["352,342,300", "970,615,88"]
["805,96,715", "425,690,689"]
["592,479,940", "117,168,530"]
["592,479,940", "352,342,300"]
["162,817,812", "739,650,466"]
["162,817,812", "216,146,977"]
["941,993,340", "425,690,689"]
["542,29,236", "739,650,466"]
["466,668,158", "52,470,668"]
["805,96,715", "862,61,35"]
["352,342,300", "984,92,344"]
["906,360,560", "941,993,340"]
["906,360,560", "466,668,158"]
["352,342,300", "805,96,715"]
["57,618,57", "117,168,530"]
["819,987,18", "346,949,466"]
["216,146,977", "425,690,689"]
["466,668,158", "542,29,236"]
["216,146,977", "805,96,715"]
["352,342,300", "862,61,35"]
["431,825,988", "739,650,466"]
["352,342,300", "346,949,466"]
["57,618,57", "52,470,668"]
["117,168,530", "425,690,689"]
["739,650,466", "984,92,344"]
["906,360,560", "352,342,300"]
["739,650,466", "805,96,715"]
["431,825,988", "52,470,668"]
["346,949,466", "941,993,340"]
["906,360,560", "862,61,35"]
["592,479,940", "52,470,668"]
["466,668,158", "941,993,340"]
["57,618,57", "346,949,466"]
["906,360,560", "425,690,689"]
["52,470,668", "346,949,466"]
["906,360,560", "542,29,236"]
["970,615,88", "984,92,344"]
["970,615,88", "862,61,35"]
["739,650,466", "819,987,18"]
["162,817,812", "592,479,940"]
["542,29,236", "805,96,715"]
["431,825,988", "346,949,466"]
["906,360,560", "970,615,88"]
["542,29,236", "117,168,530"]
["466,668,158", "425,690,689"]
["352,342,300", "425,690,689"]
["592,479,940", "739,650,466"]
["352,342,300", "739,650,466"]
["466,668,158", "970,615,88"]
["906,360,560", "592,479,940"]
["592,479,940", "216,146,977"]
["466,668,158", "819,987,18"]
["739,650,466", "346,949,466"]
["592,479,940", "805,96,715"]
["352,342,300", "52,470,668"]
["52,470,668", "216,146,977"]
["57,618,57", "352,342,300"]
["542,29,236", "984,92,344"]
["216,146,977", "117,168,530"]
["970,615,88", "941,993,340"]
["739,650,466", "970,615,88"]
["466,668,158", "346,949,466"]
["52,470,668", "425,690,689"]
["57,618,57", "466,668,158"]
["739,650,466", "941,993,340"]
["162,817,812", "346,949,466"]
["466,668,158", "739,650,466"]
["805,96,715", "984,92,344"]
["819,987,18", "970,615,88"]
["162,817,812", "52,470,668"]
["739,650,466", "425,690,689"]
["592,479,940", "431,825,988"]
["542,29,236", "862,61,35"]
["352,342,300", "466,668,158"]
["352,342,300", "117,168,530"]
["352,342,300", "542,29,236"]
["592,479,940", "425,690,689"]
["906,360,560", "984,92,344"]
["346,949,466", "425,690,689"]
["906,360,560", "739,650,466"]
["819,987,18", "941,993,340"]
["52,470,668", "117,168,530"]
["862,61,35", "984,92,344"]
["431,825,988", "425,690,689"]
["906,360,560", "805,96,715"]
["162,817,812", "431,825,988"]
["162,817,812", "425,690,689"]
